,Unnamed: 1,Unnamed: 2
625,controversy,-2.0
626,convicted,-2.0
627,convince,1.0
628,convinced,1.0
629,convinces,1.0
630,convivial,2.0
631,cool,1.0
632,cool stuff,3.0
633,cornered,-2.0
634,corpse,-1.0
635,corrupt,-3.0
636,corrupted,-3.0
637,corrupting,-3.0
638,corruption,-3.0
639,corrupts,-3.0
640,costly,-2.0
641,courage,2.0
642,courageous,2.0
643,courageously,2.0
644,courageousness,2.0
645,courteous,2.0
646,courtesy,2.0
647,cover-up,-3.0
648,coward,-2.0
649,cowardly,-2.0
650,coziness,2.0
651,cramp,-1.0
652,crap,-3.0
653,crappy,-3.0
654,crash,-2.0
655,crazier,-2.0
656,craziest,-2.0
657,crazy,-2.0
658,creative,2.0
659,crestfallen,-2.0
660,cried,-2.0
661,cries,-2.0
662,crime,-3.0
663,crimes,-3.0
664,criminal,-3.0
665,criminals,-3.0
666,criminate,-3.0
667,criminated,-3.0
668,criminates,-3.0
669,crisis,-3.0
670,critic,-2.0
671,criticise,-2.0
672,criticised,-2.0
673,criticises,-2.0
674,criticising,-2.0
675,criticism,-2.0
676,criticize,-2.0
677,criticized,-2.0
678,criticizes,-2.0
679,criticizing,-2.0
680,critics,-2.0
681,critique,-2.0
682,crowding,-1.0
683,crude,-1.0
684,cruel,-3.0
685,cruelty,-3.0
686,crush,-1.0
687,crushed,-2.0
688,crushes,-1.0
689,crushing,-1.0
690,cry,-1.0
691,crying,-2.0
692,cunning,2.0
693,cunt,-5.0
694,curious,1.0
695,curse,-1.0
696,cut,-1.0
697,cutback,-2.0
698,cutbacks,-2.0
699,cute,2.0
700,cuts,-1.0
701,cutting,-1.0
702,cynic,-2.0
703,cynical,-2.0
704,cynicism,-2.0
705,damage,-3.0
706,damaged,-3.0
707,damages,-3.0
708,damaging,-3.0
709,damn,-2.0
710,damn cute,3.0
711,damn good,4.0
712,damned,-4.0
713,damnit,-4.0
714,danger,-2.0
715,dangerous,-2.0
