RunQueue;syscall;%CPU;RunQueue;syscall;;User%;Sys%;Wait%
1,5;44065;0,22;;;;;;
0,9;279626;0,21;;;;;;
0,5;9349;2,11;;;;;;
0,3;9651;0,63;;;;;;
0,3;9502;0,22;;;;;;
0,9;30976;0,21;;;;;;
0,9;42383;2,64;;;;;;
0,6;198848;0,22;;;;;;
0,6;9363;0,22;;;;;;
0,2;9446;2,47;;;;;;
0;3971;0,25;;;;;;
0,8;30640;0,23;;;;;;
0,9;41423;0,22;;;;;;
0,2;8454;2,52;;;;;;
0,5;9002;0,2;;;;;;
0;9251;0,22;;;;;;
0,6;217040;0,2;;;;;;
0,6;33178;2,59;;;;;;
1,4;59180;0,1;;;;;;
0,3;16812;0,22;;;;;;
0,4;9966;0,22;;;;;;
0,3;8847;2,48;;;;;;
0,1;9250;0,21;;;;;;
0,5;34855;0,21;;;;;;
0,9;41792;0,21;;;;;;
0,8;9160;2,71;;;;;;
0,5;9130;0,22;;;;;;
0,33;15168;0,21;;;;;;
0,5;12034;1,06;;;;;;
0,5;24888;1,55;;;;;;
0,6;49114;0,22;;;;;;
0,6;13194;0,22;;;;;;
0,4;3897;1,96;;;;;;
0,4;8549;0,78;;;;;;
0,3;9690;0,22;;;;;;
0,6;25227;0,22;;;;;;
0,5;47707;2,32;;;;;;
0,2;8390;0,4;;;;;;
0,1;8910;0,22;;;;;;
0,1;9353;0,22;;;;;;
0,2;9645;2,6;;;;;;
0,6;25739;0,22;;;;;;
0,8;47399;0,22;;;;;;
0,1;5631;2,63;;;;;;
0,4;5417;0,22;;;;;;
0,1;10670;0,22;;;;;;
0,4;10826;2,6;;;;;;
0,9;23803;0,22;;;;;;
1,9;96006;0,21;;;;;;
;;2,66;;;;;;
;;0,22;;;;;;
;;0,22;;;;;;
;;2,59;;;;;;
;;0,19;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,71;;;;;;
;;0,24;;;;;;
;;0,24;;;;;;
;;1,34;;;;;;
;;1,39;;;;;;
;;0,21;;;;;;
;;0,21;;;;;;
;;2,06;;;;;;
;;0,65;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,25;;;;;;
;;0,47;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,47;;;;;;
;;0,13;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,69;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,6;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,66;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,69;;;;;;
;;0,22;;;;;;
;;0,22;;;;;;
;;2,58;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,67;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;1,87;;;;;;
;;0,85;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,48;;;;;;
;;0,23;;;;;;
;;0,22;;;;;;
;;0,2;;;;;;
;;2,41;;;;;;
;;0,18;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,52;;;;;;
;;0,16;;;;;;
;;0,21;;;;;;
;;0,2;;;;;;
;;2,66;;;;;;
;;0,22;;;;;;
;;0,21;;;;;;
;;2,61;;;;;;
;;0,12;;;;;;
;;0,22;;;;;;
